Country,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,X
Other Sub-Saharan Africa,800.37,828.13,830.95,850.2,875.59,862.08,859.91,846.87,809.13,849.2,869.66,869.27,857.26,853.67,854.57,845.49,853.65,859.83,862.68,858.94,832.94,813.44,770.67,725.61,717.11,737.14,762.33,775.4,779.9,778.09,775.04,788.49,801.78,807.01,840.83,879.02,919.01,968.86,999.19,1003.89,1030.55,1060.46,1088.84,1114.62,1141.15,1155.94,1157.78,1165.45,1166,1165.61,1118.85,1132.17,1144.35,1152.35,1171.76,1198.28,1225.03,1251.08,1277.2,1303.97,1330.56,1356.96,1384.08,1411.93,
Angola,4504.27,4628.76,4499.96,4727.12,4855.54,4630.46,4303.23,4154.28,3822.46,3703.5,3624.01,3381.14,3297.53,3317.73,3394.3,3401.7,3382.97,3415.21,3513.32,3404.7,3179.86,3102.69,2819.25,2063.59,2013.05,2230.64,2447.02,2541.6,2578.81,2555.19,2555.96,2585.16,2840.92,2814.38,2996.57,3316.08,3565.94,3917.65,4195.39,4074.63,4114.67,4102.08,4286.8,4331.31,4374.47,4257.4,4001.3,3856.32,3648.91,3493.91,3184.1,3112.07,3108.68,3081.51,3066.07,3072.34,3060.19,3051.31,3045.41,3045.41,3048.36,3051.31,3054.27,3057.22, 
Botswana,715.1,876.27,1072.04,1252.45,1304.43,1348.71,1418.47,1507.12,1637.68,1750.72,1878.11,1973.91,2131.85,2326.06,2438.35,2526.38,2647.14,2871.22,3325.79,3647.33,3778.81,3942.45,3934.04,3883.27,3902.38,4055.78,4173.96,4403.86,4315.87,4627.03,4621.93,4542.44,4729.05,4861.35,4905.27,5038.76,5364.63,5707.58,5959.51,5409.69,5774.27,6022.04,6187.32,6777.25,6944.87,6718.48,6897.76,6988.4,7190.35,7293,6559.08,7199.95,7552.85,7754.06,7991.47,8227.14,8463.85,8697.79,8929.62,9167.86,9403.4,9617.11,9835.68,10059.22, 
Burundi,348.36,350.47,334.24,356.25,348.26,342.93,362.98,395.61,382.36,370.82,359.83,388.51,376.27,381.2,373.86,410.06,416.31,429.71,441.16,438.03,443.91,456.09,447.75,436.7,418.99,361.52,332.45,326.88,334.65,321.92,311.32,308.68,312.55,298.56,301.21,292.78,297.85,297.24,299.45,295.83,297.4,299.56,302.98,307.78,311.22,293.52,287.81,283.15,280.78,278.56,271.78,267.73,263.29,261.57,264.25,271.07,277.85,284.34,290.7,296.64,302.41,308,313.7,319.5, 
Cameroon,830.82,841.77,845.72,871.35,942.99,1024.57,943.24,1044.19,1238.07,1274.79,1205.75,1357.95,1423.34,1488.61,1553.4,1625.18,1679.1,1590.99,1421.67,1353.59,1232.09,1149.09,1080.02,964.66,956.03,960.47,973.72,995.86,1011.86,1026.42,1034.16,1050.29,1064.74,1082.87,1125.34,1117.57,1125.57,1148.16,1154.4,1146.5,1152.85,1167.94,1188.26,1218.46,1251.07,1280.36,1301.17,1311.43,1328.82,1344.42,1314,1324.67,1337.62,1357.45,1379.83,1405.17,1433.77,1458.9,1480.21,1498.96,1513.57,1525.37,1537.27,1549.25, 
Central African Republic,645.26,637.08,622.75,622.31,648.2,634.51,651.79,659.26,650.09,617.28,573.67,549.83,576.77,516.2,546.67,550.37,557.49,517.73,512.81,508.54,483.89,467.64,425.27,413.96,421.86,442.22,415.48,427.38,436.79,441.9,421.08,431.85,439.39,407.14,424.12,420.69,432.25,442.73,442.33,470.12,481.43,490.97,504.86,314.34,307.95,314.53,322.55,332.44,341.46,346.52,343.6,340.8,336.44,337.79,345.17,353.59,361.44,368.55,374.34,378.76,381.74,384.37,387.02,389.69, 
Chad,494.05,472.51,467.59,419.04,430.11,458.44,461.57,461.31,448.73,344.38,323.39,327,328.31,361.25,364.34,439.75,409.44,386.15,432.31,440.43,412.5,433.43,450.12,383.32,414.77,403.09,395.4,404.92,419.45,402.82,385.94,416.46,435.56,478.68,609.84,685.53,664.14,661.23,656.67,659.09,721.77,696.28,731.01,744.67,767.25,763.11,692.63,649.75,643.92,643.82,610.25,584.81,585.91,588.11,591.13,591.96,594.07,596.38,598.7,601.6,604.53,607.46,610.42,613.38, 
Democratic Republic of Congo,1185.86,1223.12,1191.84,1252.85,1256.73,1160.82,1068.94,1046.89,960.73,934.52,928.41,924.87,895.38,884.96,908.12,884.85,898.61,893.59,869.27,831,751.06,664.67,575.94,481.75,447.15,432.12,418.9,388.21,372.89,345.99,312.31,296.37,295.78,303.16,314.14,323.24,329.69,339.06,348.42,346.54,358.71,370.17,382.88,401.21,424.27,438.55,434.15,435.6,446.33,451.26,444.71,455.45,468.25,482.84,499.84,518.01,535.29,552.94,570.11,586.7,602.63,618.41,634.61,651.22, 
Djibouti,4187.96,4251.71,4199.56,4212.55,3872.92,4115.71,4279.64,3541.62,3000.2,2901.89,2779.35,2711.01,2669.14,2600.29,2583.5,2527.01,2406.98,2342.38,2326.78,2136.69,1416.12,1240.38,1324.86,1421.85,1355.79,1415.85,1307.36,1312.02,1249.7,1235.67,1201.44,1181.38,1179.82,1262.48,1366.35,1391.06,1538.31,1579.78,1624.11,1810.5,1979.62,2184.62,2416.53,2677.81,2803.28,2952.31,3088.11,3175.62,3284.3,3393.03,3362.6,3481.08,3535.35,3647.29,3792.96,4013.26,4244.39,4486.21,4742.06,5007.84,5288.79,5585.51,5898.87,6229.81, 
Equatorial Guinea,381.79,392.98,396.43,435.35,486.88,608.1,681.72,724.52,681.45,569.31,515.94,514.05,500.14,500.47,481.33,525.8,500.53,509.28,509.16,489.61,468.16,450.89,591.05,638.32,724.23,827.34,1339.87,3255.7,3916.54,4782.77,5493.47,8719.13,10119.2,11205.1,15028.57,17056.41,17862.86,20029.32,22955.34,22640.03,20072.62,20821.44,21968.23,20521.47,20085.87,17800.37,15831.18,14571.28,13318.57,12279.51,11233.3,11098.83,11191.56,10473.01,10145.72,10065.66,9998.12,9939.88,9891.58,9853.09,9833.88,9814.71,9795.58,9776.49, 
