"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.288,14.467,no data,no data,no data,no data,no data,no data,no data
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16880.675,17608.125,18295,18804.9,19612.1,20656.525,21521.4,21322.925,23594.05,25744.1,27357.825,28781.083,29839.684,31018.771,32274.458,33582.242,34950.012
Uruguay,12.217,13.636,11.147,6.119,5.819,5.686,7.059,8.832,9.137,9.63,11.204,13.502,15.515,18.064,21.04,23.267,24.73,26.155,27.704,26.178,24.892,22.802,14.863,13.159,14.959,18.986,21.416,25.603,33.151,34.565,43.967,52.354,55.938,62.857,62.546,58.218,57.58,65.068,65.37,62.23,53.666,60.762,70.165,77.241,82.605,86.294,90.111,94.192,98.607,103.27
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,62.081,52.87,60.284,60.225,69.601,81.167,90.882,97.956,109.853,123.097,137.552,153.74,170.314
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.929,0.93,1.008,0.921,1.039,1.169,1.289,1.4,1.5,1.605,1.709,1.821
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,316.482,372.592,258.931,214.69,125.449,112.915,115.883,102.021,73.003,43.788,57.666,92.104,97.116,102.328,105.876,no data,no data,no data,no data
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,370.076,407.965,433.702,465.814,505.531,546.491,589.854,635.648,684.01
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.515,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.109,19.166,18.602,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,20.22,19.394,23.534,18.424,16.94,17.176,19.661,22.865,24.978,26.754
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.138,22.096,29.122,28.406,29.872,32.41,35.064,38.035,41.233,44.601
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.1,17.116,19.093,19.499,19.969,20.555,22.046,37.065,26.033,26.878,36.016,31.291,32.216,34.405,35.312,36.424,37.541,38.749,39.923
Africa (Region),469.863,479.827,485.742,467.258,409.523,402.925,442.327,495.786,525.371,564.499,658.834,607.814,609.332,610.285,597.91,709.646,792.104,822.016,830.952,688.589,709.152,687.241,701.889,846.827,1014.503,1189.451,1373.5,1596.495,1868.214,1779.456,2081.059,2327.609,2486.242,2580.475,2680.562,2447.841,2327.709,2343.798,2504.307,2566.57,2479.243,2771.728,2980.015,2857.033,2807.4,2925.991,3123.156,3343.833,3577.537,3824.406
Asia and Pacific,2362.782,2526.871,2458.433,2612.375,2769.561,2822.056,3597.051,4269.313,5091.538,5293.004,5517.664,6083.523,6667.504,7509.403,8146.377,9256.405,9035.52,8691.861,7862.645,8734.705,9351.891,8726.111,8961.7,10001.832,11284.924,12199.485,13062.307,14923.466,16881.705,17349.557,20256.252,23334.578,24796.623,25177.531,26104.994,25896.634,26959.599,28894.544,31013.46,31796.441,31886.624,36448.516,36355.542,36770.183,38456.139,40962.75,43581.399,46257.328,49121.189,51968.266
Australia and New Zealand,185.516,211.927,210.331,202.005,219.56,196.966,208.951,250.133,316.662,352.378,369.868,367.884,359.604,354.103,406.294,441.336,493.851,495.278,438.316,470.959,454.381,431.132,487.547,623.751,760.54,849.683,893.094,1084.916,1192.088,1122.685,1400.132,1682.434,1745.272,1707.326,1657.785,1410.852,1449.775,1586.238,1628.697,1598.966,1575.158,1907.535,1967.274,1990.922,2047.973,2130.012,2218.165,2305.384,2408.597,2522.9
Caribbean,18.16,19.861,21.924,21.848,21.859,22.305,21.278,20.192,20.599,22.189,22.542,22.426,22.186,22.895,25.999,31.73,34.269,37.024,39.797,42.394,44.574,44.983,46.664,48.227,53.46,60.481,66.005,74.605,84.174,74.03,79.328,85.996,90.689,93.148,95.204,93.399,88.199,91.782,96.122,95.39,82.965,99.752,117.97,125.108,135.728,142.438,149.658,153.974,159.197,165.036
Central America,35.209,35.229,35.787,37.585,44.79,38.87,38.316,37.983,36.255,40.982,37.458,46.358,52.374,57.175,62.432,69.567,74.434,81.209,87.95,89.148,94.402,99.754,105.188,103.103,110.294,132.196,144.813,164.848,185.692,185.652,206.628,231.988,250.224,265.425,283.083,303.11,319.865,338.594,351.79,365.007,337.534,384.538,434.011,478.209,512.314,545.333,580.489,618.484,659.157,702.351
Central Asia and the Caucasus,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,230.662,273.278,212.873,280.721,303.837,319.492,334.452,313.047,331.082,264.323,311.095,400.028,518.555,646.279,741.97,926.48,1071.151,926.359,1109.897,1257.941,1337.599,1457.007,1439.116,1292.431,1230.75,1237.217,1173.545,1171.493,1111.752,1266.014,1450.35,1692.912,1753.726,1791.686,1883.909,1985.312,2086.619,2190.848
East Asia,1571.628,1689.735,1606.475,1751.178,1854.99,1941.065,2660.754,3216.183,3924.276,4040.343,4112.099,4670.865,5157.129,5904.584,6416.901,7268.321,6847.586,6502.849,5955.332,6692.204,7253.835,6726.027,6750.836,7359.568,8153.114,8614.332,8991.802,9930.595,11373.93,11931.686,13616.575,15721.678,16860.509,17009.111,17744.739,17879.999,18605.031,19762.723,21592.202,22098.694,22594.259,25769.639,24915.616,24741.202,25635.709,27249.069,28826.441,30373.131,32002.52,33513.93
Eastern Europe ,165.523,175.648,189.517,191.755,184.588,182.672,188.526,192.748,228.064,222.139,167.19,148.694,291.559,453.885,599.701,772.436,889.824,936.545,816.527,703.895,766.064,867.373,980.337,1196.879,1524.824,1865.712,2262.386,2925.746,3656.479,2860.163,3234.39,3830.45,3887.631,4068.845,3829.422,2886.372,2830.657,3304.954,3608.72,3705.769,3488.84,4157.444,4592.715,4655.664,4836.385,5007.575,5194.401,5386.253,5577.837,5769.738
Europe,4010.764,3611.443,3497.089,3407.701,3274.003,3388.536,4559.019,5600.188,6269.324,6369.384,7800.334,8265.919,9117.147,8472.874,9109.108,10535.611,10836.176,10290.428,10463.991,10364.793,9749.227,9914.442,10836.976,13155.546,15285.79,16191.604,17498.073,20402.345,22436.552,19701.457,20020.33,22040.991,21104.356,21986.42,22337.948,19180.149,19182.237,20413.658,22018.967,21739.556,21028.882,24059.785,23966.739,25509.858,26471.023,27479.967,28541.655,29585.735,30684.374,31774.142
Middle East (Region),365.584,429.174,416.997,425.064,421.696,423.58,430.205,519.973,550.123,626.667,884.972,625.339,404.661,425.688,474.154,533.85,615.569,662.189,667.131,781.934,968.222,917.247,732.067,820.586,980.279,1196.697,1412.054,1678.763,2107.271,1866.836,2215.747,2657.487,2631.657,2745.374,2827.483,2459.501,2488.379,2677.694,2796.814,2706.67,2338.871,2828.038,3440.81,3397.339,3568.814,3749.484,3930.194,4127.969,4326.329,4549.498
North Africa,143.043,137.188,142.105,148.661,153.868,171.096,177.022,203.441,213.624,239.819,241.68,183.912,187.334,187.729,186.731,205.495,227.924,233.893,240.52,254.299,268.245,262.741,242.89,270.813,306.06,351.346,406.423,474.108,585.135,555.57,630.281,672.055,767.824,772.537,787.355,742.524,738.053,664.69,704.373,751.36,758.114,832.915,921.329,878.912,869.681,874.025,942.503,1012.721,1085.988,1160.639
North America,3389.979,3841.238,3900.909,4177.174,4630.542,4955.745,5140.043,5487.108,5985.876,6497.755,6897.431,7171.698,7576.992,8004.758,8460.472,8668.52,9181.222,9804.197,10308.4,10998.673,11799.344,12186.616,12572.461,13193.433,14143.43,15214.191,16242.497,17135.025,17577.907,16894.382,17870.126,18722.417,19438.988,20157.157,20880.829,21168.178,21549.466,22555.533,23739.083,24675.452,24202.574,27020.961,29482.342,31402.607,33158.053,34448.761,35842.702,37311.34,38841.462,40437.167
Pacific Islands ,5.925,5.89,5.639,5.535,5.337,4.991,5.437,5.707,7.229,7.165,6.952,7.91,9.035,10.063,11.104,10.519,11.244,10.921,8.646,8.468,8.233,7.516,7.538,9.306,10.749,12.325,13.609,15.376,17.947,17.124,20.364,25.221,28.97,29.292,31.615,29.911,29.315,32.015,33.828,34.385,32.408,34.432,40.79,41.054,42.429,43.993,45.567,47.322,49.269,51.271
South America,581.096,583.981,494.458,463.468,454.181,500.145,564.531,599.011,667.453,731.017,812.063,833.763,891.88,963.205,1146.486,1433.863,1538.986,1636.37,1615.772,1303.779,1378.406,1266.259,996.146,1073.371,1296.606,1656.005,2014.188,2505.399,3045.323,2933.025,3763.342,4404.486,4451.491,4432.974,4316.773,3521.033,3419.497,3873.565,3653.453,3475.509,2857.566,3324.9,3840.133,4180.298,4339.621,4484.009,4738.388,5007.564,5256.079,5514.165
South Asia,257.208,273.45,283.385,298.216,300.023,323.764,341.535,377.641,405.016,412.495,442.076,402.844,427.363,424.648,478.2,532.32,574.63,600.928,608.772,642.835,657.303,671.957,706.543,823.201,953.157,1085.315,1234.373,1549.237,1576.976,1719.755,2091.416,2301.606,2334.39,2399.418,2628.478,2752.881,2992.766,3414.998,3516.013,3639.334,3473.363,4065.508,4313.201,4491.642,4897.795,5362.861,5905.904,6510.704,7181.659,7923.1
Southeast Asia,245.909,248.004,263.685,270.473,307.009,262.444,278.037,300.723,313.323,332.896,379.161,425.617,483.711,542.728,621.004,723.187,804.373,762.392,517.126,607.191,647.056,625.157,698.141,785.977,888.809,991.55,1187.46,1416.863,1649.613,1631.95,2017.868,2345.697,2489.883,2575.377,2603.26,2530.56,2651.962,2861.353,3069.175,3253.569,3099.684,3405.388,3668.31,3812.45,4078.505,4385.128,4701.412,5035.473,5392.525,5766.217
Sub-Saharan Africa (Region) ,326.819,342.639,343.638,318.597,255.656,231.829,265.305,292.344,311.747,324.68,417.154,423.901,421.998,422.556,411.178,504.151,564.18,588.122,590.433,434.29,440.907,424.5,458.999,576.014,708.443,838.105,967.077,1122.387,1283.079,1223.886,1450.779,1655.555,1718.417,1807.938,1893.207,1705.317,1589.656,1679.108,1799.934,1815.209,1721.129,1938.813,2058.686,1978.121,1937.719,2051.966,2180.653,2331.112,2491.549,2663.767
Western Europe,3845.241,3435.795,3307.572,3215.946,3089.415,3205.864,4370.494,5407.44,6041.26,6147.245,7633.144,8117.225,8825.588,8018.988,8509.407,9763.175,9946.352,9353.884,9647.464,9660.898,8983.162,9047.069,9856.639,11958.667,13760.966,14325.893,15235.688,17476.599,18780.074,16841.295,16785.94,18210.541,17216.725,17917.575,18508.527,16293.778,16351.58,17108.704,18410.246,18033.787,17540.042,19902.341,19374.024,20854.194,21634.638,22472.393,23347.254,24199.482,25106.537,26004.404
Western Hemisphere (Region),4024.445,4480.309,4453.078,4700.075,5151.371,5517.066,5764.169,6144.294,6710.183,7291.943,7769.494,8074.245,8543.433,9048.033,9695.389,10203.681,10828.911,11558.8,12051.919,12433.995,13316.726,13597.612,13720.459,14418.135,15603.791,17062.873,18467.503,19879.878,20893.097,20087.089,21919.423,23444.887,24231.391,24948.704,25575.89,25085.72,25377.028,26859.474,27840.448,28611.358,27480.639,30830.151,33874.455,36186.222,38145.717,39620.542,41311.237,43091.362,44915.895,46818.719
ASEAN-5,208.639,229.269,239.197,233.223,242.907,234.883,228.952,241.508,278.672,318.986,363.369,406.573,460.837,515.3,588.415,682.569,758.546,714.207,467.858,553.957,587.767,564.573,633.787,712.337,798.144,885.81,1064.967,1272.689,1466.244,1442.416,1803.016,2079.545,2191.351,2252.206,2253.369,2177.95,2284.18,2462.823,2631.544,2781.979,2608.212,2894.798,3124.508,3239.734,3466.843,3722.653,3986.458,4264.578,4562.12,4872.686
Advanced economies,8481.573,8617,8556.3,8903.484,9309.991,9802.386,11969.345,13916.822,15718.734,16397.696,18405.507,19657.482,21148.868,21314.487,22895.564,25360.065,25538.001,25041.763,25132.648,26466.217,26924.575,26651.211,27803.117,31188.103,34601.241,36405.898,38279.186,41816.306,44181.81,41674.265,43521.482,46727.342,46557.439,47003.367,48101.601,45532.67,46769.281,48820.527,51655.901,52173.005,51288.504,57142.253,58145.509,61352.799,63812.329,66370.835,69055.6,71753.908,74614.774,77468.086
Emerging and Developing Asia,764.076,758.85,774.462,818.092,859.261,835.446,858.958,940.086,1049.399,1118.533,1123.29,1132.778,1282.354,1451.07,1514.59,1811.966,2052.69,2131.756,1973.056,2165.934,2324.273,2453.501,2689.29,3067.434,3557.502,4109.339,4883.142,6176.932,7432.29,8081.862,9734.858,11665.994,12860.777,14076.205,15214.418,15831.449,16280.385,17903.703,19742.058,20585.208,20832.481,24498.446,25015.914,25188.613,26686.077,28675.903,30720.031,32852.984,35124.596,37442.559
Emerging and Developing Europe,262.119,273.513,278.435,276.722,267.23,275.499,290.862,311.675,353.096,369.866,374.699,357.096,489.201,660.233,722.674,867.779,988.507,1049.598,932.536,803.787,892.325,912.068,1034.697,1275.437,1649.149,2050.884,2449.82,3143.138,3865.429,3020.949,3528.111,4136.998,4272.223,4512.688,4248.173,3294.224,3227.99,3647.076,3807.036,3879.712,3630.109,4310.549,4820.589,4997.887,5164.278,5293.887,5490.103,5687.908,5883.678,6078.685
Emerging market and developing economies,2751.864,2910.625,2755.04,2708.989,2716.164,2751.778,2823.425,3112.733,3427.805,3747.801,4225.791,3999.358,4193.209,4751.795,5127.374,5879.349,6570.496,6983.845,6744.32,6538.129,7173.368,7201.344,7160.624,8067.006,9582.987,11450.823,13553.781,16688.599,20031.932,19137.432,23005.636,27127.197,28748.229,30500.136,31494.581,29596.259,29625.781,32435.472,34590.526,35321.078,33969.077,39847.308,42517.438,43438.283,45716.887,48457.19,51527.805,54753.847,58118.083,61580.685
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6113.031,6741.787,6127.716,6472.858,7639.428,7756.971,6966.152,7132.419,7140.996,6510.788,6607.755,7209.16,8878.924,10179.549,10557.421,11217.893,12926.883,14218.816,12982.495,12709.94,13699.146,12703.977,13255.481,13572.709,11727.61,12022.367,12732.677,13767.942,13483.203,13144.38,14763.826,14234.796,15544.978,16069.358,16634.699,17194.495,17733.389,18290.657,18829.127
European Union,3213.783,2841.604,2754.678,2693.519,2592.423,2669.607,3659.617,4484.642,4953.683,5042.513,6208.886,6618.138,7299.107,6670.984,7078.071,8285.366,8417.6,7729.525,7966.199,7927.226,7272.116,7384.239,8068.117,9917.203,11400.427,11902.762,12700.505,14720.06,16292.339,14749.711,14566.76,15763.206,14649.739,15294.976,15655.112,13554.554,13884.923,14761.625,15987.54,15695.021,15370.902,17321.575,16773.067,18347.354,18977.627,19680.208,20396.702,21091.679,21800.295,22495.567
Latin America and the Caribbean,876.619,950.083,777.875,706.911,737.831,791.593,783.559,832.026,938.2,1054.851,1179.676,1271.319,1394.101,1573.501,1788.535,1915.343,2079.847,2278.053,2301.004,2066.562,2259.443,2207.05,1958.664,1990.253,2279.82,2766.253,3245.271,3847.208,4476.743,4136.145,5154.722,5951.484,6047.514,6118.983,6059.568,5130.836,4939.795,5494.663,5357.665,5241.107,4398.897,5122.26,5855.437,6572.512,7004.688,7299.851,7699.634,8111.659,8512.283,8925.514
Major advanced economies (G7),6902.537,7119.553,7087.471,7479.7,7869.654,8342.659,10094.659,11601.43,13044.169,13540.768,14975.494,16044.28,17228.502,17574.035,18794.812,20501.17,20465.143,20198.727,20467.995,21579.271,22094.902,21837.357,22513.873,24850.231,27296.873,28496.052,29714.05,31914.842,33473.011,31868.581,33100.953,35198.819,35365.273,35413.996,36286.538,34859.182,35853.391,37119.473,39159.079,39866.497,39159.79,43174.358,44196.816,46800.246,48678.121,50581.874,52616.99,54663.837,56834.383,58991.231
Middle East and Central Asia,531.325,592.07,585.378,595.152,604.179,622.958,632.14,748.566,784.913,896.724,1135.646,819.496,611.49,652.184,698.993,789.596,896.476,949.336,960.964,1081.015,1272.115,1222.498,1039.727,1182.157,1418.018,1725.355,2058.823,2463.892,3045.744,2735.553,3210.063,3792.137,3906.867,4046.589,4148.776,3707.572,3661.862,3769.416,3927.65,3844.41,3432.579,4024.552,4814.101,4741.431,4965.982,5179.102,5482.678,5817.017,6154.19,6518.916
Other advanced economies,775.411,791.004,785.815,784.259,822.081,819.611,999.613,1230.517,1450.776,1577.731,1817.589,1930.794,2060.18,2033.666,2283.778,2692.01,2870.593,2781.596,2510.657,2689.162,2778.168,2695.247,2931.141,3377.602,3858.349,4254.685,4608.883,5270.792,5569.853,5121.813,5897.139,6737.71,6791.53,7021.335,7150.937,6579.533,6711.265,7213.794,7591.194,7454.576,7410.158,8603.101,8649.548,8748.888,9110.58,9536.576,9954.415,10372.563,10818.861,11272.286
Sub-Saharan Africa,317.724,336.109,338.889,312.112,247.664,226.282,257.905,280.38,302.196,307.827,412.48,418.669,416.062,414.807,402.582,494.666,552.976,575.103,576.76,420.831,425.212,406.226,438.247,551.726,678.499,798.99,916.725,1057.428,1211.726,1162.923,1377.883,1580.584,1660.847,1745.67,1823.646,1632.177,1515.749,1620.614,1756.116,1770.64,1675.01,1891.501,2011.398,1937.839,1895.862,2008.448,2135.359,2284.279,2443.336,2615.01
World,11233.437,11527.625,11311.34,11612.474,12026.154,12554.164,14792.77,17029.555,19146.539,20145.497,22631.298,23656.84,25342.077,26066.282,28022.937,31239.414,32108.497,32025.608,31876.968,33004.346,34097.943,33852.555,34963.741,39255.109,44184.228,47856.72,51832.967,58504.905,64213.742,60811.696,66527.118,73854.539,75305.668,77503.503,79596.182,75128.93,76395.062,81255.999,86246.426,87494.083,85257.581,96989.561,100662.948,104791.082,109529.216,114828.025,120583.405,126507.755,132732.857,139048.771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
